"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
8.422947910E-1;1.150395632E0;-1.416206598E0;9.658875465E0
8.447289580E-1;1.136022806E0;-1.418602109E0;9.761879921E0
8.471910410E-1;1.109672546E0;-1.418602109E0;9.769066811E0
8.496531250E-1;1.109672546E0;-1.356319666E0;9.778649330E0
8.521152080E-1;1.085717678E0;-1.306014657E0;9.828954697E0
8.545773440E-1;1.054576397E0;-1.265291452E0;9.857699394E0
8.570393750E-1;1.013853312E0;-1.229359269E0;9.898422241E0
8.595015100E-1;1.052181244E0;-1.217381835E0;9.922377586E0
8.619635410E-1;1.073740482E0;-1.174263239E0;9.874467850E0
8.644256770E-1;1.100090742E0;-1.135935664E0;9.891236305E0
8.668877600E-1;1.159977674E0;-1.102398872E0;9.951123238E0
8.693498440E-1;1.248610258E0;-1.083235145E0;9.893631935E0
8.718119270E-1;1.363593102E0;-1.107189894E0;9.955914497E0
8.742832810E-1;1.492949009E0;-1.064071298E0;1.002298737E1
8.767453640E-1;1.651050806E0;-1.104794383E0;1.005173302E1
8.792074480E-1;1.730101347E0;-1.083235145E0;1.002059269E1
8.816695310E-1;1.751660824E0;-1.080839634E0;1.009006119E1
8.841316660E-1;1.835502386E0;-1.107189894E0;1.004454708E1
8.865936980E-1;1.854666471E0;-1.150308490E0;1.003736019E1
8.890558330E-1;1.849875450E0;-1.147912979E0;1.007089710E1
8.915178640E-1;1.811547756E0;-1.188636065E0;1.003975582E1
8.939800000E-1;1.778010845E0;-1.186240673E0;1.002777863E1
8.964420830E-1;1.770824671E0;-1.217381835E0;1.004933834E1
8.989041660E-1;1.658237219E0;-1.279664397E0;1.009245586E1
9.013662500E-1;1.648655176E0;-1.267686963E0;1.010203838E1
9.038334890E-1;1.576790810E0;-1.344342232E0;1.015953064E1
9.062955730E-1;1.521694660E0;-1.370692492E0;1.019067097E1
9.087576560E-1;1.416293621E0;-1.382669926E0;1.017629814E1
9.112197390E-1;1.282146931E0;-1.430579543E0;1.015473938E1
9.136818750E-1;1.138418198E0;-1.507234693E0;1.013557529E1
9.161439060E-1;1.001876116E0;-1.562330723E0;1.011161995E1
9.186060410E-1;8.413789868E-1;-1.638986111E0;1.013078403E1
9.210680730E-1;7.838875651E-1;-1.689291120E0;1.001819611E1
9.235302080E-1;7.790965438E-1;-1.696477652E0;9.931959152E0
9.259922910E-1;7.958648801E-1;-1.737200737E0;9.924773216E0
9.284543750E-1;8.701247573E-1;-1.806669712E0;9.821766853E0
9.309164580E-1;9.539665580E-1;-1.794692278E0;9.771462440E0
9.333841660E-1;1.037808180E0;-1.787505627E0;9.716365814E0
9.358462500E-1;1.114463568E0;-1.799483061E0;9.654084206E0
9.383083330E-1;1.095299721E0;-1.840206146E0;9.543891907E0
9.407704160E-1;1.148000240E0;-1.840206146E0;9.421722412E0
9.432325520E-1;1.126440763E0;-1.907279730E0;9.371417046E0
9.456945830E-1;1.186327934E0;-1.931234598E0;9.313926697E0
9.481567190E-1;1.270169497E0;-1.940816402E0;9.234875679E0
9.506187500E-1;1.308497190E0;-1.974353075E0;9.155824661E0
9.530808850E-1;1.385152340E0;-1.967166662E0;9.148638725E0
9.555429690E-1;1.454621553E0;-1.998307943E0;9.155824661E0
9.580050520E-1;1.478576183E0;-1.979144096E0;9.124683380E0
9.604671350E-1;1.430666685E0;-2.048613071E0;9.163011551E0
9.629413020E-1;1.406712055E0;-2.060590267E0;9.227687836E0
